Episode Number,Reward Sum,Running Reward
460,-20.0,-20.418403974376954
461,-21.0,-20.424219934633186
462,-21.0,-20.429977735286855
463,-20.0,-20.425677957933985
464,-21.0,-20.431421178354647
465,-18.0,-20.4071069665711
466,-21.0,-20.413035896905388
467,-19.0,-20.398905537936336
468,-21.0,-20.404916482556974
469,-21.0,-20.410867317731405
470,-21.0,-20.416758644554093
471,-19.0,-20.402591058108552
472,-21.0,-20.40856514752747
473,-20.0,-20.404479496052193
474,-20.0,-20.40043470109167
475,-20.0,-20.396430354080753
476,-21.0,-20.402466050539946
477,-21.0,-20.408441390034547
478,-20.0,-20.4043569761342
479,-21.0,-20.410313406372858
480,-19.0,-20.39621027230913
481,-21.0,-20.402248169586038
482,-21.0,-20.408225687890177
483,-19.0,-20.394143431011276
484,-20.0,-20.390201996701162
485,-21.0,-20.396299976734152
486,-20.0,-20.39233697696681
487,-18.0,-20.36841360719714
488,-21.0,-20.37472947112517
489,-21.0,-20.38098217641392
490,-21.0,-20.38717235464978
491,-21.0,-20.393300631103283
492,-21.0,-20.39936762479225
493,-19.0,-20.38537394854433
494,-20.0,-20.381520209058888
495,-21.0,-20.3877050069683
496,-19.0,-20.37382795689862
497,-21.0,-20.380089677329632
498,-20.0,-20.376288780556337
499,-21.0,-20.382525892750774
500,-21.0,-20.388700633823266
501,-20.0,-20.384813627485034
502,-20.0,-20.380965491210183
503,-21.0,-20.38715583629808
504,-21.0,-20.393284277935102
505,-21.0,-20.39935143515575
506,-17.0,-20.365357920804193
507,-20.0,-20.361704341596152
508,-21.0,-20.368087298180193
509,-21.0,-20.37440642519839
510,-20.0,-20.370662360946405
511,-21.0,-20.376955737336942
512,-21.0,-20.383186179963573
513,-21.0,-20.38935431816394
514,-21.0,-20.3954607749823
515,-21.0,-20.40150616723248
516,-21.0,-20.407491105560155
517,-21.0,-20.413416194504553
518,-20.0,-20.409282032559506
519,-19.0,-20.395189212233912
520,-20.0,-20.39123732011157
521,-21.0,-20.397324946910455
522,-20.0,-20.39335169744135
523,-21.0,-20.399418180466938
524,-21.0,-20.40542399866227
525,-20.0,-20.401369758675646
526,-21.0,-20.40735606108889
527,-19.0,-20.393282500478
528,-18.0,-20.36934967547322
529,-21.0,-20.37565617871849
530,-21.0,-20.381899616931307
531,-20.0,-20.378080620761992
532,-21.0,-20.38429981455437
533,-21.0,-20.39045681640883
534,-21.0,-20.396552248244742
535,-21.0,-20.402586725762294
536,-21.0,-20.40856085850467
537,-21.0,-20.414475249919626
538,-21.0,-20.42033049742043
539,-21.0,-20.426127192446227
540,-21.0,-20.431865920521766
541,-20.0,-20.427547261316548
542,-21.0,-20.433271788703383
543,-20.0,-20.428939070816348
544,-21.0,-20.434649680108187
545,-21.0,-20.440303183307105
546,-20.0,-20.435900151474033
547,-21.0,-20.441541149959292
548,-21.0,-20.4471257384597
549,-21.0,-20.452654481075104
550,-20.0,-20.448127936264353
551,-21.0,-20.45364665690171
552,-21.0,-20.459110190332694
553,-21.0,-20.46451908842937
554,-19.0,-20.44987389754508
555,-21.0,-20.455375158569627
556,-21.0,-20.460821406983932
557,-20.0,-20.456213192914092
558,-20.0,-20.45165106098495
559,-21.0,-20.457134550375102
560,-21.0,-20.46256320487135
561,-21.0,-20.46793757282264
562,-20.0,-20.46325819709441
563,-19.0,-20.44862561512347
564,-21.0,-20.454139358972235
565,-21.0,-20.459597965382514
566,-21.0,-20.46500198572869
567,-21.0,-20.470351965871405
568,-20.0,-20.46564844621269
569,-21.0,-20.470991961750563
570,-19.0,-20.456282042133058
571,-21.0,-20.46171922171173
572,-20.0,-20.45710202949461
573,-21.0,-20.462531009199665
574,-20.0,-20.457905699107666
575,-20.0,-20.45332664211659
576,-21.0,-20.458793375695425
577,-21.0,-20.46420544193847
578,-21.0,-20.469563387519088
579,-21.0,-20.4748677536439
580,-19.0,-20.46011907610746
581,-19.0,-20.445517885346387
582,-21.0,-20.451062706492923
583,-21.0,-20.456552079427993
584,-21.0,-20.461986558633715
585,-21.0,-20.467366693047378
586,-18.0,-20.442693026116903
