Episode Number,Reward Sum,Running Reward
5541,-20,-20.19086862
5542,-21,-20.19895993
5543,-19,-20.18697033
5544,-20,-20.18510063
5545,-21,-20.19324962
5546,-16,-20.15131713
5547,-20,-20.14980396
5548,-20,-20.14830592
5549,-21,-20.15682286
5550,-20,-20.15525463
5551,-19,-20.14370208
5552,-21,-20.15226506
5553,-20,-20.15074241
5554,-20,-20.14923499
5555,-19,-20.13774264
5556,-21,-20.14636521
5557,-21,-20.15490156
5558,-21,-20.16335254
5559,-21,-20.17171902
5560,-20,-20.17000183
5561,-21,-20.17830181
5562,-21,-20.18651879
5563,-21,-20.1946536
5564,-18,-20.17270707
5565,-21,-20.18098
5566,-18,-20.1591702
5567,-21,-20.16757849
5568,-18,-20.14590271
5569,-21,-20.15444368
5570,-20,-20.15289924
5571,-20,-20.15137025
5572,-19,-20.13985655
5573,-20,-20.13845798
5574,-20,-20.1370734
5575,-20,-20.13570267
5576,-20,-20.13434564
5577,-21,-20.14300219
5578,-21,-20.15157217
5579,-19,-20.14005644
5580,-21,-20.14865588
5581,-21,-20.15716932
5582,-20,-20.15559763
5583,-21,-20.16404165
5584,-18,-20.14240123
5585,-21,-20.15097722
5586,-20,-20.14946745
5587,-19,-20.13797278
5588,-20,-20.13659305
5589,-20,-20.13522712
5590,-20,-20.13387485
5591,-20,-20.1325361
5592,-20,-20.13121074
5593,-19,-20.11989863
5594,-17,-20.08869964
5595,-21,-20.09781265
5596,-21,-20.10683452
5597,-20,-20.10576617
5598,-20,-20.10470851
5599,-21,-20.11366143
5600,-21,-20.12252481
5601,-19,-20.11129957
5602,-21,-20.12018657
5603,-20,-20.1189847
5604,-20,-20.11779486
5605,-20,-20.11661691
5606,-19,-20.10545074
5607,-19,-20.09439623
5608,-19,-20.08345227
5609,-19,-20.07261775
5610,-21,-20.08189157
5611,-20,-20.08107265
5612,-20,-20.08026193
5613,-21,-20.08945931
5614,-20,-20.08856472
5615,-21,-20.09767907
5616,-16,-20.05670228
5617,-18,-20.03613525
5618,-20,-20.0357739
5619,-19,-20.02541616
5620,-19,-20.015162
5621,-20,-20.01501038
5622,-21,-20.02486028
5623,-21,-20.03461167
5624,-20,-20.03426556
5625,-21,-20.0439229
5626,-20,-20.04348367
5627,-21,-20.05304884
5628,-17,-20.02251835
5629,-20,-20.02229316
5630,-20,-20.02207023
5631,-21,-20.03184953
5632,-21,-20.04153104
5633,-21,-20.05111573
5634,-21,-20.06060457
5635,-19,-20.04999852
5636,-20,-20.04949854
5637,-19,-20.03900355
5638,-21,-20.04861352
5639,-21,-20.05812738
5640,-21,-20.06754611
5641,-21,-20.07687065
5642,-21,-20.08610194
5643,-21,-20.09524092
5644,-19,-20.08428851
5645,-20,-20.08344563
5646,-20,-20.08261117
5647,-20,-20.08178506
5648,-19,-20.07096721
5649,-20,-20.07025754
5650,-21,-20.07955496
5651,-21,-20.08875941
5652,-21,-20.09787182
5653,-20,-20.0968931
5654,-21,-20.10592417
5655,-20,-20.10486493
5656,-20,-20.10381628
5657,-20,-20.10277811
5658,-20,-20.10175033
5659,-21,-20.11073283
5660,-21,-20.1196255
5661,-19,-20.10842925
5662,-20,-20.10734495
5663,-21,-20.1162715
5664,-21,-20.12510879
5665,-21,-20.1338577
5666,-21,-20.14251912
5667,-20,-20.14109393
5668,-21,-20.14968299
5669,-19,-20.13818616
5670,-21,-20.1468043
5671,-20,-20.14533626
5672,-20,-20.1438829
5673,-19,-20.13244407
5674,-21,-20.14111963
5675,-20,-20.13970843
5676,-20,-20.13831135
5677,-19,-20.12692823
5678,-19,-20.11565895
5679,-20,-20.11450236
5680,-21,-20.12335734
5681,-21,-20.13212376
5682,-20,-20.13080253
5683,-21,-20.1394945
5684,-21,-20.14809956
5685,-19,-20.13661856
5686,-20,-20.13525237
5687,-21,-20.14389985
5688,-20,-20.14246085
5689,-21,-20.15103624
5690,-21,-20.15952588
5691,-20,-20.15793062
5692,-19,-20.14635132
5693,-20,-20.1448878
5694,-20,-20.14343893
5695,-21,-20.15200454
5696,-21,-20.16048449
5697,-21,-20.16887965
5698,-19,-20.15719085
5699,-20,-20.15561894
5700,-21,-20.16406275
5701,-20,-20.16242212
5702,-19,-20.1507979
5703,-20,-20.14928992
5704,-19,-20.13779702
5705,-17,-20.10641905
5706,-21,-20.11535486
5707,-19,-20.10420131
5708,-19,-20.0931593
5709,-20,-20.09222771
5710,-21,-20.10130543
5711,-21,-20.11029238
5712,-21,-20.11918945
5713,-20,-20.11799756
5714,-20,-20.11681758
5715,-20,-20.11564941
5716,-19,-20.10449291
5717,-19,-20.09344798
5718,-21,-20.1025135
5719,-20,-20.10148837
5720,-21,-20.11047349
5721,-21,-20.11936875
5722,-21,-20.12817506
5723,-21,-20.13689331
5724,-21,-20.14552438
5725,-19,-20.13406914
5726,-19,-20.12272844
5727,-21,-20.13150116
5728,-20,-20.13018615
5729,-21,-20.13888429
5730,-20,-20.13749544
5731,-20,-20.13612049
5732,-20,-20.13475928
5733,-21,-20.14341169
5734,-21,-20.15197757
5735,-21,-20.1604578
5736,-21,-20.16885322
5737,-21,-20.17716469
5738,-21,-20.18539304
5739,-18,-20.16353911
5740,-21,-20.17190372
5741,-20,-20.17018468
5742,-20,-20.16848284
5743,-19,-20.15679801
5744,-21,-20.16523003
5745,-19,-20.15357773
5746,-21,-20.16204195
5747,-20,-20.16042153
5748,-20,-20.15881732
5749,-20,-20.15722914
5750,-21,-20.16565685
5751,-21,-20.17400028
5752,-18,-20.15226028
5753,-19,-20.14073768
5754,-21,-20.1493303
5755,-19,-20.137837
5756,-19,-20.12645863
5757,-21,-20.13519404
5758,-19,-20.1238421
5759,-18,-20.10260368
5760,-18,-20.08157764
5761,-21,-20.09076187
5762,-19,-20.07985425
5763,-20,-20.07905571
5764,-20,-20.07826515
5765,-20,-20.0774825
5766,-19,-20.06670767
5767,-21,-20.07604059
5768,-14,-20.01528019
5769,-21,-20.02512739
5770,-21,-20.03487611
5771,-21,-20.04452735
5772,-21,-20.05408208
5773,-20,-20.05354126
5774,-20,-20.05300585
5775,-17,-20.02247579
5776,-21,-20.03225103
5777,-20,-20.03192852
5778,-21,-20.04160923
5779,-20,-20.04119314
5780,-21,-20.05078121
5781,-21,-20.0602734
5782,-19,-20.04967066
5783,-20,-20.04917396
5784,-18,-20.02868222
5785,-21,-20.0383954
5786,-21,-20.04801144
5787,-19,-20.03753133
5788,-19,-20.02715601
5789,-20,-20.02688445
5790,-20,-20.02661561
5791,-21,-20.03634945
5792,-20,-20.03598596
5793,-21,-20.0456261
5794,-21,-20.05516984
5795,-18,-20.03461814
5796,-21,-20.04427196
5797,-20,-20.04382924
5798,-20,-20.04339095
5799,-21,-20.05295704
5800,-21,-20.06242747
5801,-21,-20.07180319
5802,-19,-20.06108516
5803,-20,-20.06047431
5804,-19,-20.04986956
5805,-19,-20.03937087
5806,-19,-20.02897716
5807,-21,-20.03868739
5808,-21,-20.04830052
5809,-21,-20.05781751
5810,-21,-20.06723933
5811,-19,-20.05656694
5812,-20,-20.05600127
5813,-18,-20.03544126
5814,-18,-20.01508685
5815,-21,-20.02493598
5816,-18,-20.00468662
5817,-20,-20.00463975
5818,-20,-20.00459335
5819,-21,-20.01454742
5820,-21,-20.02440195
5821,-17,-19.99415793
5822,-19,-19.98421635
5823,-20,-19.98437418
5824,-20,-19.98453044
5825,-19,-19.97468514
5826,-21,-19.98493829
5827,-20,-19.9850889
5828,-21,-19.99523802
5829,-21,-20.00528564
5830,-21,-20.01523278
5831,-21,-20.02508045
5832,-21,-20.03482965
5833,-21,-20.04448135
5834,-21,-20.05403654
5835,-20,-20.05349617
5836,-20,-20.05296121
5837,-21,-20.0624316
5838,-20,-20.06180728
5839,-17,-20.03118921
5840,-21,-20.04087732
5841,-19,-20.03046854
5842,-21,-20.04016386
5843,-20,-20.03976222
